id,name,password,curFoudrisingAmount,closedFoundrisingAmount,fund_balance,income_history,outcome_history,volunteer_amount
1,Bergstrom LLC,CRXEDMQUe,31,90,$807881.30,$4.96,$9.96,16
2,Daniel LLC,4fxHGKcfN,79,89,$1546498.25,$7.92,$1.93,56
3,Tillman Inc,q6FqeR,8,67,$2692620.93,$0.36,$2.88,53
4,"Bins, Robel and Bartoletti",VyenXq,95,79,$2380762.88,$7.80,$4.03,91
5,O'Conner LLC,bywgKO3RT,41,55,$4787389.67,$5.34,$1.30,25
6,Hirthe-Cronin,4KFg2l2tbFKF,62,47,$7280946.70,$6.27,$5.02,45
7,"Runolfsdottir, Reynolds and Carter",eXAkYB,55,82,$6035056.63,$2.05,$6.36,84
8,"Stamm, Grimes and Ernser",hFrLpqu,55,58,$603483.75,$2.61,$3.59,87
9,Nikolaus-Dicki,kPD2SRfjwr,87,76,$6568216.35,$6.68,$1.82,68
10,Kreiger-Osinski,ot7LYNoiES,77,48,$2351329.85,$1.07,$2.63,81
11,"Lueilwitz, Howell and Morissette",QXn0z0I,10,27,$7807785.71,$8.48,$8.06,48
12,Lehner Group,3eU6oLaxLqo,35,61,$1167342.92,$5.35,$5.13,64
13,Rutherford Inc,AFeis9,84,34,$360940.55,$2.58,$3.87,8
14,Ward-Bartell,fFFVxGSgdoQ,100,39,$8632327.96,$8.49,$2.82,86
15,Johns-Hansen,cbEyahv,87,59,$5478394.96,$9.26,$8.66,45
16,"Rath, Kassulke and Kozey",7EvBbTtzYbk,77,7,$1177714.04,$7.50,$3.75,25
17,Greenfelder-Reichert,Ds6G7V,9,62,$8150597.67,$4.31,$4.12,93
18,Koepp Group,8iCEUKyx,70,48,$679352.53,$8.21,$9.26,20
19,Thompson Inc,UN2bGCXFRA2E,73,39,$1212772.73,$3.11,$4.13,93
20,Swift-Schaefer,LybOLGQbe,42,60,$6423003.07,$0.37,$3.91,20
21,Ratke LLC,qOua32dm,57,18,$123040.45,$1.41,$5.26,98
22,Zemlak-Christiansen,f6oFQ66xwITh,83,5,$5710066.07,$4.52,$3.79,95
23,Pouros LLC,FCJwMz55q3,57,94,$4944775.77,$9.89,$8.18,31
24,"Stark, Muller and Hyatt",hFvCVhyPwP,42,21,$2475928.58,$5.73,$9.12,45
25,"Gutmann, Rogahn and Kreiger",MAVm35U6ACX3,96,75,$98404.18,$6.33,$8.78,27
26,"Quigley, Crooks and Wiza",A2CTi3,13,5,$6717481.41,$7.14,$2.48,3
27,Heller Group,cxHZx6zhPH,94,76,$5267353.75,$6.54,$9.92,4
28,Considine and Sons,O51k1nYpFCkV,85,97,$8234713.57,$6.53,$8.22,88
29,Rutherford-Satterfield,yLLOq3JiLn,100,24,$5468736.44,$8.66,$8.91,1
30,"Maggio, Ward and Gottlieb",0u9icRt,44,62,$5708921.01,$9.46,$7.13,90
31,"Bogan, Shields and Leffler",phFKitW9a0,82,100,$1638618.52,$6.44,$0.59,35
32,Brown Inc,hIEpR45jYN,60,48,$5925670.99,$8.29,$7.87,54
33,Keeling-Kreiger,8Gnw6xB11DO,24,96,$2424943.97,$1.83,$9.00,72
34,"Zieme, Littel and Prosacco",CfLdAMTNR,50,100,$1649280.05,$1.26,$3.03,82
35,"Lowe, Feeney and Satterfield",Qn6QbDySMF,44,17,$2876935.45,$4.68,$1.91,69
36,"Kiehn, Hartmann and Jacobson",fvXwzVzy,30,78,$4296677.37,$9.77,$4.50,24
37,"McLaughlin, Walter and Robel",raCcmcDPdI,1,85,$309749.87,$1.01,$9.67,19
38,Boehm-Buckridge,G5u05An,77,72,$4025125.10,$2.86,$7.72,75
39,Runte Group,3Vf9QBHRWG,96,22,$7176800.20,$7.70,$0.13,5
40,Huel LLC,8U4aW9GlwJ,90,88,$7041059.98,$9.05,$7.21,4
41,Fay-Morissette,hg3kGipvO,79,6,$2643474.00,$3.71,$3.90,49
42,"Gleichner, Willms and Rippin",58XXegvQ,39,67,$168456.75,$1.13,$1.34,28
43,"Ziemann, Harber and Effertz",Vnyu4IMeN,44,91,$6049590.13,$4.09,$7.62,24
44,"Monahan, Hauck and Brakus",yQcXlIgvj6,54,14,$6142114.89,$3.14,$1.92,78
45,White Inc,lB5BYOq88Hbo,59,59,$8527721.56,$7.98,$8.26,61
46,Renner-Boyer,6UWNqaeHrR,48,47,$4701606.34,$4.63,$3.58,14
47,Jerde LLC,OuYVGCs0wVG,79,85,$2161626.65,$9.46,$8.60,1
48,Boyer Group,HEDZlPqcJ3k8,86,1,$2237367.31,$1.06,$5.03,9
49,Senger LLC,jW6IvC6WV,37,77,$3080035.53,$0.32,$6.24,20
50,"Rohan, Pfeffer and Jenkins",nT7EMK0e,60,90,$1743529.33,$8.39,$5.19,45
51,Marks LLC,po7dugiF,39,63,$4890488.71,$9.10,$1.59,50
52,"Beer, Hodkiewicz and Goodwin",9HVCB5,79,52,$2834054.60,$3.04,$3.31,3
53,"Hayes, Schulist and Carter",T4tA2CPiVDp,28,68,$7539721.31,$7.47,$9.04,56
54,Rolfson and Sons,sXhapw,95,42,$3896683.14,$6.61,$9.07,29
55,"Wyman, Jacobs and Kris",zK7IBtEI2Ma,65,93,$3329183.16,$3.48,$4.87,1
56,Spinka-Denesik,odRx29tbYXpk,57,45,$8535343.65,$8.72,$1.76,22
57,Roberts LLC,LvG7PSzLYWw,46,47,$7798718.87,$1.12,$1.89,4
58,"Huels, O'Kon and Zulauf",9GYrrrVsaWp,29,60,$4328051.10,$4.82,$1.03,52
59,Murazik and Sons,VPdx7tVQc6g,60,77,$8885583.26,$7.01,$7.49,39
60,Flatley LLC,gmYkdosq7K,49,99,$485000.60,$7.27,$4.18,52
61,Koch-Ward,ldDBkT4R1o,98,57,$1612185.99,$6.66,$4.12,69
62,"Williamson, Fadel and Mann",x8JoE4DVxFAO,1,91,$3714305.87,$4.57,$2.92,83
63,"Greenfelder, Simonis and Batz",VOn4qdgz3b,12,78,$6720298.62,$7.80,$3.42,34
64,Volkman Group,I8miAkcRlU,88,37,$688752.24,$2.45,$3.87,64
65,"Paucek, Reinger and Goldner",NKTdQSaNhQJ,66,55,$50576.96,$3.35,$2.38,3
66,Renner Inc,Fgjrxnxpx,1,84,$116989.62,$0.73,$7.79,100
67,Emmerich-MacGyver,vuGwcbfScM,47,80,$7763110.66,$0.50,$7.09,13
68,"Dietrich, Heidenreich and Heller",PE42H42jw7,79,85,$5077542.45,$4.76,$2.88,94
69,Berge-Sipes,3gYY0CGJW,17,81,$8051180.06,$9.28,$6.55,4
70,Powlowski Group,QV5y3LWn8,19,28,$3188764.17,$2.42,$2.40,92
71,Klocko-Feeney,sQHrIkpg,57,66,$2934133.60,$0.26,$5.92,93
72,Mills-Runolfsdottir,yPyutvHAqO,9,17,$4834387.97,$0.72,$0.90,48
73,Beatty LLC,Owt58RleKY2T,47,4,$6387179.75,$7.71,$2.73,52
74,Reynolds-Boyer,rmcSyMSWcb,15,11,$1996551.54,$9.06,$1.70,35
75,Denesik Inc,6oVBkeo7l,85,16,$4455003.24,$8.35,$6.93,78
76,Boehm-Kozey,vtqLjUuw,12,78,$1421281.41,$7.81,$9.07,12
77,Yundt-Senger,WGcheQyOUG,58,67,$2827596.07,$6.86,$4.77,84
78,Romaguera-Upton,84XExlk,12,86,$8592146.45,$2.05,$0.49,79
79,"Boyer, Vandervort and Hirthe",OxIVsPCUyP,88,11,$6936013.42,$6.86,$0.60,37
80,Littel LLC,5zXGvWIZJ,39,93,$5866491.44,$9.72,$9.97,98
81,"Nolan, Auer and Torp",AubthpM,2,21,$5211136.62,$2.27,$8.64,55
82,Kunde and Sons,IOEqds448krM,63,80,$6943594.48,$7.95,$7.74,90
83,"Johns, Schinner and O'Connell",UYDzzNWXL,15,91,$8630520.66,$5.59,$6.94,71
84,Dickinson-Homenick,8NThIVHr,23,71,$3322027.07,$7.07,$2.63,55
85,Schneider-Williamson,4cZdcXm45Dx,89,87,$6236384.11,$7.76,$7.16,12
86,Bradtke-Miller,bbOSXS,97,67,$7568229.60,$1.62,$4.36,18
87,Nitzsche-Kulas,CAVmIXUrsIG,26,40,$101938.04,$4.62,$0.82,48
88,Romaguera LLC,mPg4vXH8uZtt,8,64,$4544488.91,$3.62,$2.78,19
89,Rowe-Murazik,TvDDPjcM,55,97,$8788168.49,$1.63,$0.54,21
90,Schaefer and Sons,OD3820C2BK,89,46,$3629897.93,$4.72,$2.92,33
91,Lang Group,fG0P6jDWGQc,2,87,$7618513.93,$3.48,$9.63,54
92,"Johns, Donnelly and DuBuque",s9dY1W,97,42,$5463053.86,$1.09,$5.98,99
93,Satterfield-Franecki,yG0yJhC9dWCC,16,85,$2709765.40,$2.29,$9.22,4
94,Ratke-Bruen,Mesdtr8MBx1j,58,2,$5000177.50,$8.57,$5.39,16
95,Blanda Group,2sFokkg,16,95,$5582621.53,$7.54,$1.29,45
96,Williamson-Waters,LvxaGZnM5h,2,7,$4513501.07,$2.78,$8.46,56
