id,username,password,balance,charitySum,closedFingAmount
1,gduggen0,hbsvo9r,$50000.00,0,0
2,ecane1,JEqZ7pO8xTb,$50000.00,0,0
3,kszymanowicz2,YemtNZNWx,$50000.00,0,0
4,lwaggatt3,uWgosGrjb,$50000.00,0,0
5,clacer4,OcU99nVZb,$50000.00,0,0
6,ihemphrey5,iGdbzOmqO,$50000.00,0,0
7,ffairpo6,INhxdH4WB,$50000.00,0,0
8,cbrevitt7,kCOF36ww,$50000.00,0,0
9,fmcgrory8,zzQKMNY8,$50000.00,0,0
10,hclinkard9,t3rYPAPj5X,$50000.00,0,0
11,cmarryatta,ekrz2LXYlw18,$50000.00,0,0
12,cgeorgievb,wqFuiE0,$50000.00,0,0
13,tjarrattc,5Lkp6Nf,$50000.00,0,0
14,bsapsforded,7DVV6cHq,$50000.00,0,0
15,rfitzgeorgee,jEBJz3zyz,$50000.00,0,0
16,lringsf,vseWtYCuq,$50000.00,0,0
17,lmosbyg,NaIay6jGA,$50000.00,0,0
18,dpomfreyh,cJApLSbp,$50000.00,0,0
19,fbracknalli,ZpsXqqmC,$50000.00,0,0
20,mvanoortj,U0yKBf,$50000.00,0,0
21,pfindenk,LC03I2i,$50000.00,0,0
22,rkobschl,FWi2bIG,$50000.00,0,0
23,mkubelkam,zXTey891He,$50000.00,0,0
24,mboasn,5TP4eJSrG,$50000.00,0,0
25,npillingero,WuG2y4u,$50000.00,0,0
26,tedlynp,48Nv5VZsG,$50000.00,0,0
27,nyurygynq,Mb8jcV,$50000.00,0,0
28,fdelortr,0BI61t4XV,$50000.00,0,0
29,dmatiaseks,8kyRR7BMr,$50000.00,0,0
30,rashbeet,u0Hag8twA,$50000.00,0,0
31,aducarneu,z2URVMWiv,$50000.00,0,0
32,gburnhillv,PNrqQhVWldIT,$50000.00,0,0
33,berdesw,3I0PRYaCq7,$50000.00,0,0
34,llorenx,J7oV0wbZ2xu,$50000.00,0,0
35,hdebretty,ditgQw1,$50000.00,0,0
36,taronowiczz,tEGXYZLLK,$50000.00,0,0
37,gmennithorp10,fEQT8oN,$50000.00,0,0
38,cripping11,NIw3KzCnrE85,$50000.00,0,0
39,ofreyne12,K08ZlVJr71,$50000.00,0,0
40,eklimpke13,nJFPIU1,$50000.00,0,0
41,rfranzini14,2a8bNjISVfrn,$50000.00,0,0
42,cledstone15,BLsG6FLz94Yb,$50000.00,0,0
43,pdewsbury16,gGizZq0S,$50000.00,0,0
44,shatt17,MV4nYg,$50000.00,0,0
45,gmudge18,O7yI0l,$50000.00,0,0
46,lshegog19,qXs81Iq,$50000.00,0,0
47,cserjent1a,sKRhydFj6GvJ,$50000.00,0,0
48,fgarnar1b,9VSlrX,$50000.00,0,0
49,nshelley1c,Psj6eH4oD,$50000.00,0,0
50,meastmond1d,RECu13sQ,$50000.00,0,0
51,edrissell1e,ukHlElxg,$50000.00,0,0
52,mflello1f,EX4uppf4Z,$50000.00,0,0
53,nshingles1g,kh3SqT2zmx,$50000.00,0,0
54,mcollins1h,beu2mdjXQNCu,$50000.00,0,0
55,elithcow1i,L4vOxXVxcvgx,$50000.00,0,0
56,acarrivick1j,yGeNu0psc,$50000.00,0,0
57,ndouch1k,MtkJ1n,$50000.00,0,0
58,ccondict1l,JKWLoRqiUEhx,$50000.00,0,0
59,adiamant1m,KR6wDNMfP,$50000.00,0,0
60,vtommeo1n,g7vH9lY,$50000.00,0,0
61,bpetow1o,6wXEpjO69Ogc,$50000.00,0,0
62,arowlands1p,CUqCiji1wb,$50000.00,0,0
63,gfrenchum1q,R5O3ioFbjM4o,$50000.00,0,0
64,jhopfner1r,gkBmXkvc6HW,$50000.00,0,0
65,ebellsham1s,HO7ysazJ,$50000.00,0,0
66,elanegran1t,c5BacC1eY,$50000.00,0,0
67,aboyford1u,xHaRFGzyzZx,$50000.00,0,0
68,etomaszynski1v,CEzSxcY,$50000.00,0,0
69,groocroft1w,jOlV3ZAna5,$50000.00,0,0
70,kpolkinhorn1x,hhkEWDBp7p,$50000.00,0,0
71,apayne1y,mtV6oWCGE,$50000.00,0,0
72,akilminster1z,zZMJDzSQ87lA,$50000.00,0,0
73,afurlong20,GneupHL,$50000.00,0,0
74,sverdon21,ygkoazRk,$50000.00,0,0
75,igodden22,A1hDIVk,$50000.00,0,0
76,adalliwatr23,L29vv4cXr3Q5,$50000.00,0,0
77,cbeardshaw24,l31aDb,$50000.00,0,0
78,mbrinsford25,LLQBUqqOByX,$50000.00,0,0
79,echipping26,3duSteS,$50000.00,0,0
80,oworshall27,SO1NZJ,$50000.00,0,0
81,jrobson28,4ahzXDKUxyT,$50000.00,0,0
82,dshropshire29,2IkXJ969Ax,$50000.00,0,0
83,tcaldera2a,dR4QTI2,$50000.00,0,0
84,mjados2b,9j1CYVSEMQWp,$50000.00,0,0
85,tcaldicot2c,zuU1fs4ekA,$50000.00,0,0
86,lnoller2d,5WZ6ll,$50000.00,0,0
87,tdymidowski2e,cTmBOrO,$50000.00,0,0
88,nlissimore2f,nSEDMe,$50000.00,0,0
89,ptourville2g,KXdkWBS,$50000.00,0,0
90,kmcmanamon2h,RECyt88Xo,$50000.00,0,0
91,rmarcussen2i,4tOyFGkoVLGl,$50000.00,0,0
92,vbeves2j,3vgoWTvT,$50000.00,0,0
93,ojakolevitch2k,MuCIZqLRYBTe,$50000.00,0,0
94,edrance2l,5RVPf4Xw,$50000.00,0,0
95,acorkill2m,x86TvuFkVg,$50000.00,0,0
96,caddington2n,TjktgdS,$50000.00,0,0
97,dhidderley2o,dRC4w3Zp,$50000.00,0,0
98,tmulvany2p,WbaHKPbVtm5,$50000.00,0,0
99,shampton2q,a50pSqXkKqjq,$50000.00,0,0
100,bmeriott2r,N1GMe1Iuzc6,$50000.00,0,0
101,rwoodburne2s,GX2F2j0,$50000.00,0,0
102,mmarson2t,amHUD03yNY,$50000.00,0,0
103,vcaps2u,akjc7pdNOK,$50000.00,0,0
104,badriani2v,73UxPM6,$50000.00,0,0
105,prau2w,9p2xM3bdf7b,$50000.00,0,0
106,drawle2x,q3sHcK4Hi,$50000.00,0,0
107,elecornu2y,6qCrm6ATP,$50000.00,0,0
108,yjossel2z,FG9ACc7Ct,$50000.00,0,0
109,ialman30,kWQ69LNArami,$50000.00,0,0
110,ftillman31,AOhwq9woP9ut,$50000.00,0,0
111,pmacsween32,BonWq1,$50000.00,0,0
112,ecrosse33,khH95BuS,$50000.00,0,0
113,chalhead34,JmUMSJ,$50000.00,0,0
114,adoppler35,iRVfVt,$50000.00,0,0
115,ablainey36,K9YYMn,$50000.00,0,0
116,ehug37,FNld4uZy,$50000.00,0,0
117,asayer38,YB7sr86ad,$50000.00,0,0
118,pgonnard39,03KrKoBtw4K,$50000.00,0,0
119,jnolan3a,ONEwTj,$50000.00,0,0
120,sysson3b,G9yl1guhnZ,$50000.00,0,0
121,rmorcom3c,F92T1GOa,$50000.00,0,0
122,chilbourne3d,2SmNCNDwRZZ4,$50000.00,0,0
123,gbrazener3e,a0fJubBJ,$50000.00,0,0
124,lmaestrini3f,tO9boOPYU5,$50000.00,0,0
125,rdulanty3g,pgi5ID4J87pQ,$50000.00,0,0
126,sbaison3h,lA2ceeN5G1g,$50000.00,0,0
127,gwrotchford3i,0UTC8grPlP,$50000.00,0,0
128,mcayet3j,tqwytk,$50000.00,0,0
129,mnewey3k,5KzRekD,$50000.00,0,0
130,rboskell3l,vjA1D2AqOAtV,$50000.00,0,0
131,jogborne3m,X10fMV,$50000.00,0,0
132,jsulland3n,kMO4WMs,$50000.00,0,0
133,cnisco3o,PiZRry07X,$50000.00,0,0
134,hblyden3p,UrcYZ2B,$50000.00,0,0
135,celgie3q,dZ6FBv7W,$50000.00,0,0
136,gthorsby3r,zpnc8Xp1J8y,$50000.00,0,0
137,hemerson3s,lE3jGm,$50000.00,0,0
138,ggaudon3t,m4WaXsjQxtB,$50000.00,0,0
139,ikeegan3u,JOXcb7UM1,$50000.00,0,0
140,fgentsch3v,5VTOtWSyP,$50000.00,0,0
141,jkilcullen3w,KqoZ0ZTK87bV,$50000.00,0,0
142,jdare3x,5ucGoN6N,$50000.00,0,0
143,hmacsporran3y,hvyWgHBIi,$50000.00,0,0
144,bquickfall3z,3Ijoa8NzY7n,$50000.00,0,0
145,jborrill40,HY8rUFXhJq,$50000.00,0,0
146,acaro41,iPqkJLy,$50000.00,0,0
147,fmilvarnie42,fr3vmI,$50000.00,0,0
148,mdarker43,uyRrZqlu,$50000.00,0,0
149,afahy44,NEUwpwcTNi,$50000.00,0,0
150,eleband45,ZDr9XoRDxqvx,$50000.00,0,0
151,glehrmann46,ZKenAEO42n,$50000.00,0,0
152,ncrockatt47,mQHKaxdCjzk,$50000.00,0,0
153,rgroarty48,JbR9j50,$50000.00,0,0
154,jdilley49,O2GBepc0,$50000.00,0,0
155,tswindall4a,AItY7oR,$50000.00,0,0
156,jraecroft4b,eb6BQuB7ybJR,$50000.00,0,0
157,chaddacks4c,Ybxi7S,$50000.00,0,0
