id,name,password,curfoudrisingamount,closedfoundrisingamount,fund_balance,income_history,outcome_history,volunteer_amount
47,Jerde LLC,OuYVGCs0wVG,0,0,"$2,171,563.68","$2,171,563.68",$0.00,1
553,"Dibbert, Schmitt and Muller",fBzMPhaEf,1,0,"$5,476,564.59","$5,476,564.59",$0.00,11
490,"Turcotte, Fisher and Zulauf",zYMptLB,0,0,"$6,557,950.56","$6,557,950.56",$0.00,34
111,Veum LLC,KR04On,0,0,"$3,308,679.79","$3,308,679.79",$0.00,81
238,"Langworth, Ortiz and Schimmel",G8qgrnRc6i,3,0,"$3,477,693.77","$3,477,693.77",$0.00,86
188,"Wilkinson, Trantow and Schumm",0cSqWVLQL,0,0,"$7,165,835.31","$7,165,835.31",$0.00,58
680,Ziemann-Gleichner,135lgeV,3,0,"$629,269.54","$629,269.54",$0.00,51
323,"Fisher, Willms and Hahn",CwQTtFgZT,1,0,"$558,507.38","$558,507.38",$0.00,2
849,"Schmidt, White and Frami",ajRNU0w5tRB5,0,0,"$6,746,261.86","$6,746,261.86",$0.00,47
734,"Lockman, Luettgen and Sauer",1uP9rXMWJt9,2,0,"$3,973,646.67","$3,973,646.67",$0.00,84
131,Funk and Sons,XI1qOWCzR,0,0,"$4,045,538.23","$4,045,538.23",$0.00,18
653,"Friesen, Cormier and Hamill",Ilz2AUX,1,0,"$5,493,410.41","$5,493,410.41",$0.00,84
974,Lueilwitz and Sons,9EwzYdrx,1,0,"$8,889,871.36","$8,889,871.36",$0.00,25
233,Ziemann-Koelpin,h2EbXVC8,3,0,"$4,844,163.70","$4,844,163.70",$0.00,60
442,"Schumm, Hoeger and Harber",jR6BwZmKdj,0,0,"$1,970,066.11","$1,970,066.11",$0.00,7
525,Gibson Group,N0UzZXle,0,0,"$780,759.26","$780,759.26",$0.00,2
867,"Bayer, Harber and Hoppe",6nb8GhdxCRHf,0,0,"$7,289,375.20","$7,289,375.20",$0.00,23
228,Sawayn-Kunde,7UOwd1YqXBIg,1,0,"$8,214,037.52","$8,214,037.52",$0.00,94
214,Ankunding-Carter,cAoCUYerNjJb,0,0,"$1,868,274.53","$1,868,274.53",$0.00,29
727,"Osinski, Bayer and Schuster",cEx5eM,0,0,"$1,087,749.36","$1,087,749.36",$0.00,67
754,"Baumbach, Gaylord and Rolfson",LuoRVT,1,0,"$7,160,188.29","$7,160,188.29",$0.00,9
361,Block-Keebler,ffBaIX0,0,0,"$1,897,378.66","$1,897,378.66",$0.00,42
79,"Boyer, Vandervort and Hirthe",OxIVsPCUyP,3,0,"$6,937,923.30","$6,937,923.30",$0.00,37
559,"Robel, Rutherford and Hills",ilJIkrROB,0,0,"$8,323,048.16","$8,323,048.16",$0.00,9
445,"Schumm, Frami and Wiegand",ViLLWMLGQdk,0,0,"$3,528,495.11","$3,528,495.11",$0.00,46
860,Franecki-Greenholt,2eU1JTs1PT,1,0,"$8,594,220.53","$8,594,220.53",$0.00,93
221,"Ziemann, Bartell and Dooley",LbMhU4z,0,0,"$2,547,454.36","$2,547,454.36",$0.00,75
888,Buckridge-Hyatt,K9azyxIZiBh,0,0,"$6,991,977.15","$6,991,977.15",$0.00,54
515,"Block, Stracke and Maggio",mJtTi9dlMt3X,0,0,"$8,060,949.75","$8,060,949.75",$0.00,4
163,Grimes and Sons,hTbPQIeHcVUl,0,0,"$8,618,291.40","$8,618,291.40",$0.00,35
574,"Abbott, Nicolas and Kilback",Ljn2VhAJlkpp,1,0,"$5,585,685.55","$5,585,685.55",$0.00,6
334,Reilly Inc,NeUlyElMP,0,0,"$5,200,856.93","$5,200,856.93",$0.00,37
805,"Batz, Rowe and Jenkins",K3VyvKN3,0,0,"$1,709,264.82","$1,709,264.82",$0.00,85
996,Corkery and Sons,JNEmCqWwTlh,1,0,"$217,448.35","$217,448.35",$0.00,54
668,"Barrows, MacGyver and Hettinger",UoPTugQ7z,0,0,"$6,629,649.82","$6,629,649.82",$0.00,69
823,"McLaughlin, Murray and Johns",TDqoPpE9u,1,0,"$4,246,730.89","$4,246,730.89",$0.00,96
58,"Huels, O'Kon and Zulauf",9GYrrrVsaWp,0,0,"$4,337,610.75","$4,337,610.75",$0.00,52
359,Harvey-Jaskolski,XTZDnNRxKm0U,4,0,"$6,858,358.86","$6,858,358.86",$0.00,48
695,"Stehr, Mante and Kris",s6YeQbqg,0,0,"$1,929,651.58","$1,929,651.58",$0.00,37
458,"Reinger, Spinka and Jast",IKA2evWh,3,0,"$8,757,224.13","$8,757,224.13",$0.00,88
121,"Kohler, Turner and Zieme",AFVMIbNhVa,1,0,"$5,503,154.19","$5,503,154.19",$0.00,29
396,Bartoletti-Schiller,uoUO0Z,0,0,"$1,690,794.83","$1,690,794.83",$0.00,74
801,Ryan and Sons,hN5FS9DbgiUe,0,0,"$253,973.28","$253,973.28",$0.00,98
833,Franecki Group,6bl0Ld,1,0,"$350,576.26","$350,576.26",$0.00,41
306,"Robel, Klocko and Baumbach",JmHjkOUCC,2,0,"$1,587,961.78","$1,587,961.78",$0.00,4
185,"Hansen, Leffler and Runte",PkyaFOVf,0,0,"$9,008,534.39","$9,008,534.39",$0.00,15
174,"Nader, Herzog and Volkman",4lBmSrnrZn8,0,0,"$2,214,707.66","$2,214,707.66",$0.00,58
267,Runolfsdottir-McKenzie,D0d7nrkLv,0,0,"$1,626,760.00","$1,626,760.00",$0.00,26
939,"Waelchi, Nikolaus and Morissette",9IU8U7fSHZ5,1,0,"$2,399,964.28","$2,399,964.28",$0.00,16
556,Green-Funk,dLNdgkXWRi03,0,0,"$1,728,033.39","$1,728,033.39",$0.00,39
718,"Murazik, Marquardt and Barrows",yWZMf9kSPU3t,0,0,"$8,525,827.32","$8,525,827.32",$0.00,82
839,"Wiegand, Tremblay and Crooks",NerCU4pKzF,1,0,"$626,349.27","$626,349.27",$0.00,74
43,"Ziemann, Harber and Effertz",Vnyu4IMeN,4,0,"$6,058,225.48","$6,058,225.48",$0.00,24
347,"Renner, Murphy and Terry",rkUusxQ,0,0,"$4,682,007.76","$4,682,007.76",$0.00,81
90,Schaefer and Sons,OD3820C2BK,1,0,"$3,639,760.86","$3,639,760.86",$0.00,33
256,"Zulauf, Gleichner and Frami",W9NA470ZNR,1,0,"$1,072,337.26","$1,072,337.26",$0.00,1
51,Marks LLC,po7dugiF,0,0,"$4,894,978.37","$4,894,978.37",$0.00,50
501,Gaylord LLC,xyNbHI,0,0,"$1,300,876.40","$1,300,876.40",$0.00,85
579,"Funk, Wyman and Smitham",IPD3gC,0,0,"$4,931,640.69","$4,931,640.69",$0.00,89
658,"Wiegand, Johnston and Windler",yb7l44JPs,0,0,"$4,224,487.79","$4,224,487.79",$0.00,43
737,Nitzsche-Hickle,tEg7qAzO,0,0,"$723,139.58","$723,139.58",$0.00,62
762,Carter-Fay,zxo8sJ,0,0,"$1,013,779.66","$1,013,779.66",$0.00,74
813,Collins Inc,U3t8xPG,0,0,"$5,107,292.22","$5,107,292.22",$0.00,28
890,Abshire-Walter,w4XC1vO,0,0,"$5,635,798.21","$5,635,798.21",$0.00,76
32,Brown Inc,hIEpR45jYN,0,0,"$5,928,991.05","$5,928,991.05",$0.00,54
39,Runte Group,3Vf9QBHRWG,0,0,"$7,186,619.05","$7,186,619.05",$0.00,5
33,Keeling-Kreiger,8Gnw6xB11DO,0,0,"$2,432,218.43","$2,432,218.43",$0.00,72
23,Pouros LLC,FCJwMz55q3,0,0,"$4,953,959.81","$4,953,959.81",$0.00,31
19,Thompson Inc,UN2bGCXFRA2E,2,0,"$1,212,886.22","$1,212,886.22",$0.00,93
28,Considine and Sons,O51k1nYpFCkV,0,0,"$8,240,568.72","$8,240,568.72",$0.00,88
30,"Maggio, Ward and Gottlieb",0u9icRt,0,0,"$5,709,066.07","$5,709,066.07",$0.00,90
37,"McLaughlin, Walter and Robel",raCcmcDPdI,0,0,"$316,831.08","$316,831.08",$0.00,19
18,Koepp Group,8iCEUKyx,1,0,"$686,821.01","$686,821.01",$0.00,20
20,Swift-Schaefer,LybOLGQbe,1,0,"$6,427,433.13","$6,427,433.13",$0.00,20
102,Langworth-Swaniawski,V0B8elnQwhdA,0,0,"$3,143,016.44","$3,143,016.44",$0.00,7
50,"Rohan, Pfeffer and Jenkins",nT7EMK0e,2,0,"$1,752,830.71","$1,752,830.71",$0.00,45
62,"Williamson, Fadel and Mann",x8JoE4DVxFAO,1,0,"$3,721,865.83","$3,721,865.83",$0.00,83
93,Satterfield-Franecki,yG0yJhC9dWCC,0,0,"$2,719,490.82","$2,719,490.82",$0.00,4
48,Boyer Group,HEDZlPqcJ3k8,1,0,"$2,241,308.80","$2,241,308.80",$0.00,9
99,"Jast, Gottlieb and Auer",8cL5Ct0AgA,2,0,"$4,999,191.86","$4,999,191.86",$0.00,11
60,Flatley LLC,gmYkdosq7K,0,0,"$486,040.54","$486,040.54",$0.00,52
114,O'Keefe and Sons,sXdwEEd,0,0,"$5,797,602.19","$5,797,602.19",$0.00,77
71,Klocko-Feeney,sQHrIkpg,0,0,"$2,942,154.90","$2,942,154.90",$0.00,93
109,"Wisozk, Block and Schmidt",l3ouFz,1,0,"$4,965,870.42","$4,965,870.42",$0.00,49
57,Roberts LLC,LvG7PSzLYWw,1,0,"$7,807,551.69","$7,807,551.69",$0.00,4
56,Spinka-Denesik,odRx29tbYXpk,2,0,"$8,540,199.73","$8,540,199.73",$0.00,22
9,Nikolaus-Dicki,kPD2SRfjwr,2,0,"$6,575,552.77","$6,575,552.77",$0.00,68
54,Rolfson and Sons,sXhapw,0,0,"$3,899,127.40","$3,899,127.40",$0.00,29
3,Tillman Inc,q6FqeR,0,0,"$2,695,356.02","$2,695,356.02",$0.00,53
76,Boehm-Kozey,vtqLjUuw,0,0,"$1,425,009.36","$1,425,009.36",$0.00,12
7,"Runolfsdottir, Reynolds and Carter",eXAkYB,1,0,"$6,039,168.69","$6,039,168.69",$0.00,84
108,Gibson-Heller,Pacghan,0,0,"$590,165.80","$590,165.80",$0.00,36
70,Powlowski Group,QV5y3LWn8,2,0,"$3,196,354.29","$3,196,354.29",$0.00,92
75,Denesik Inc,6oVBkeo7l,0,0,"$4,456,500.29","$4,456,500.29",$0.00,78
66,Renner Inc,Fgjrxnxpx,0,0,"$120,355.07","$120,355.07",$0.00,100
86,Bradtke-Miller,bbOSXS,0,0,"$7,571,353.40","$7,571,353.40",$0.00,18
89,Rowe-Murazik,TvDDPjcM,0,0,"$8,790,457.63","$8,790,457.63",$0.00,21
15,Johns-Hansen,cbEyahv,0,0,"$5,482,005.16","$5,482,005.16",$0.00,45
8,"Stamm, Grimes and Ernser",hFrLpqu,3,0,"$611,743.97","$611,743.97",$0.00,87
81,"Nolan, Auer and Torp",AubthpM,0,0,"$5,218,632.22","$5,218,632.22",$0.00,55
13,Rutherford Inc,AFeis9,0,0,"$366,442.88","$366,442.88",$0.00,8
84,Dickinson-Homenick,8NThIVHr,2,0,"$3,324,347.39","$3,324,347.39",$0.00,55
103,Hansen-Beer,Jdtr9rxHr,1,0,"$6,368,382.91","$6,368,382.91",$0.00,16
10,Kreiger-Osinski,ot7LYNoiES,0,0,"$2,354,685.44","$2,354,685.44",$0.00,81
52,"Beer, Hodkiewicz and Goodwin",9HVCB5,0,0,"$2,834,106.48","$2,834,106.48",$0.00,3
55,"Wyman, Jacobs and Kris",zK7IBtEI2Ma,1,0,"$3,334,340.83","$3,334,340.83",$0.00,1
14,Ward-Bartell,fFFVxGSgdoQ,0,0,"$8,636,180.55","$8,636,180.55",$0.00,86
74,Reynolds-Boyer,rmcSyMSWcb,1,0,"$2,004,097.30","$2,004,097.30",$0.00,35
11,"Lueilwitz, Howell and Morissette",QXn0z0I,0,0,"$7,812,976.33","$7,812,976.33",$0.00,48
85,Schneider-Williamson,4cZdcXm45Dx,1,0,"$6,238,496.94","$6,238,496.94",$0.00,12
68,"Dietrich, Heidenreich and Heller",PE42H42jw7,1,0,"$5,082,523.49","$5,082,523.49",$0.00,94
59,Murazik and Sons,VPdx7tVQc6g,1,0,"$8,889,299.65","$8,889,299.65",$0.00,39
63,"Greenfelder, Simonis and Batz",VOn4qdgz3b,3,0,"$6,722,881.91","$6,722,881.91",$0.00,34
72,Mills-Runolfsdottir,yPyutvHAqO,0,0,"$4,835,453.79","$4,835,453.79",$0.00,48
104,Witting Group,bsUF3MsCk,2,0,"$3,671,223.44","$3,671,223.44",$0.00,69
61,Koch-Ward,ldDBkT4R1o,3,0,"$1,621,626.59","$1,621,626.59",$0.00,69
88,Romaguera LLC,mPg4vXH8uZtt,0,0,"$4,545,404.03","$4,545,404.03",$0.00,19
67,Emmerich-MacGyver,vuGwcbfScM,0,0,"$7,769,489.94","$7,769,489.94",$0.00,13
96,Williamson-Waters,LvxaGZnM5h,2,0,"$4,514,925.37","$4,514,925.37",$0.00,56
64,Volkman Group,I8miAkcRlU,3,0,"$690,430.59","$690,430.59",$0.00,64
78,Romaguera-Upton,84XExlk,0,0,"$8,593,674.49","$8,593,674.49",$0.00,79
95,Blanda Group,2sFokkg,2,0,"$5,583,298.46","$5,583,298.46",$0.00,45
87,Nitzsche-Kulas,CAVmIXUrsIG,0,0,"$105,515.74","$105,515.74",$0.00,48
69,Berge-Sipes,3gYY0CGJW,1,0,"$8,057,973.97","$8,057,973.97",$0.00,4
