id,username,password,balance,charitysum,closedfingamount
2,ecane1,JEqZ7pO8xTb,"$43,025.43","$6,974.57",0
3,kszymanowicz2,YemtNZNWx,"$39,728.22","$10,271.78",0
4,lwaggatt3,uWgosGrjb,"$47,097.96","$2,902.04",0
5,clacer4,OcU99nVZb,"$32,569.55","$17,430.45",0
6,ihemphrey5,iGdbzOmqO,"$43,205.87","$6,794.13",0
7,ffairpo6,INhxdH4WB,"$47,291.16","$2,708.84",0
8,cbrevitt7,kCOF36ww,"$42,751.83","$7,248.17",0
9,fmcgrory8,zzQKMNY8,"$36,049.58","$13,950.42",0
11,cmarryatta,ekrz2LXYlw18,"$38,514.30","$11,485.70",0
12,cgeorgievb,wqFuiE0,"$36,968.27","$13,031.73",0
13,tjarrattc,5Lkp6Nf,"$42,667.29","$7,332.71",0
14,bsapsforded,7DVV6cHq,"$32,041.55","$17,958.45",0
15,rfitzgeorgee,jEBJz3zyz,"$31,179.53","$18,820.47",0
16,lringsf,vseWtYCuq,"$40,150.89","$9,849.11",0
17,lmosbyg,NaIay6jGA,"$36,870.28","$13,129.72",0
18,dpomfreyh,cJApLSbp,"$44,359.60","$5,640.40",0
19,fbracknalli,ZpsXqqmC,"$45,432.91","$4,567.09",0
20,mvanoortj,U0yKBf,"$40,113.93","$9,886.07",0
21,pfindenk,LC03I2i,"$45,378.87","$4,621.13",0
22,rkobschl,FWi2bIG,"$41,609.64","$8,390.36",0
23,mkubelkam,zXTey891He,"$44,435.70","$5,564.30",0
24,mboasn,5TP4eJSrG,"$34,836.86","$15,163.14",0
25,npillingero,WuG2y4u,"$38,380.31","$11,619.69",0
26,tedlynp,48Nv5VZsG,"$45,558.80","$4,441.20",0
27,nyurygynq,Mb8jcV,"$37,964.86","$12,035.14",0
28,fdelortr,0BI61t4XV,"$42,968.40","$7,031.60",0
29,dmatiaseks,8kyRR7BMr,"$36,387.15","$13,612.85",0
30,rashbeet,u0Hag8twA,"$43,692.60","$6,307.40",0
31,aducarneu,z2URVMWiv,"$46,608.13","$3,391.87",0
33,berdesw,3I0PRYaCq7,"$33,092.03","$16,907.97",0
34,llorenx,J7oV0wbZ2xu,"$39,343.40","$10,656.60",0
35,hdebretty,ditgQw1,"$35,570.86","$14,429.14",0
36,taronowiczz,tEGXYZLLK,"$47,784.77","$2,215.23",0
37,gmennithorp10,fEQT8oN,"$33,104.87","$16,895.13",0
38,cripping11,NIw3KzCnrE85,"$40,871.73","$9,128.27",0
39,ofreyne12,K08ZlVJr71,"$48,971.53","$1,028.47",0
40,eklimpke13,nJFPIU1,"$38,797.85","$11,202.15",0
41,rfranzini14,2a8bNjISVfrn,"$40,843.14","$9,156.86",0
42,cledstone15,BLsG6FLz94Yb,"$44,164.31","$5,835.69",0
43,pdewsbury16,gGizZq0S,"$38,393.79","$11,606.21",0
45,gmudge18,O7yI0l,"$33,401.42","$16,598.58",0
46,lshegog19,qXs81Iq,"$40,094.77","$9,905.23",0
47,cserjent1a,sKRhydFj6GvJ,"$34,914.11","$15,085.89",0
48,fgarnar1b,9VSlrX,"$36,820.32","$13,179.68",0
49,nshelley1c,Psj6eH4oD,"$39,444.88","$10,555.12",0
50,meastmond1d,RECu13sQ,"$33,618.23","$16,381.77",0
51,edrissell1e,ukHlElxg,"$36,754.51","$13,245.49",0
52,mflello1f,EX4uppf4Z,"$32,047.37","$17,952.63",0
55,elithcow1i,L4vOxXVxcvgx,"$47,136.96","$2,863.04",0
